PEDFE_code,mean_anger,mean_disgust,mean_fear,mean_happiness,mean_sadness,mean_surprise,mean_neutral
10_dg_1,0.0620880126953125,0.16340787708759308,0.025261608883738518,0.60096675157547,0.06000956892967224,0.07062181830406189,0.017644327133893967
10_dg_2,0.015494127757847309,0.020619817078113556,0.0021592851262539625,0.9408397674560547,0.006180345080792904,0.013754709623754025,0.0009519706945866346
10_dg_3,0.06483080983161926,0.13990579545497894,0.01555576827377081,0.46937745809555054,0.1737850159406662,0.08821368217468262,0.04833143204450607
10_dg_4,0.0611724779009819,0.14051967859268188,0.018404372036457062,0.4745379686355591,0.20042945444583893,0.05348993465304375,0.051446154713630676
10_ds_1,0.041545551270246506,0.4336082935333252,0.01803126372396946,0.010446189902722836,0.30685684084892273,0.010241339914500713,0.17927056550979614
10_ds_2,0.07642970979213715,0.15884558856487274,0.015360655263066292,0.0025015531573444605,0.537186324596405,0.0037723775021731853,0.20590373873710632
10_ds_3,0.13345788419246674,0.5913648009300232,0.002789015881717205,0.0006512246327474713,0.23350438475608826,0.00027896376559510827,0.03795372694730759
10_ds_4,0.22454851865768433,0.5314143896102905,0.0031499287579208612,0.0004862721834797412,0.21246041357517242,0.0003832466318272054,0.02755722589790821
10_fg_1,0.0024841323029249907,0.0018217632314190269,0.00023800294729880989,0.986630380153656,0.003615474095568061,0.0005734253209084272,0.004636754747480154
10_fg_2,0.003159350948408246,0.0007717423141002655,0.0007106894045136869,0.9770854711532593,0.0002965252206195146,0.01790865883231163,6.744540587533265e-05
10_fg_3,0.0038508488796651363,0.001895589055493474,0.000972778769209981,0.9603137373924255,0.0015348934102803469,0.030846310779452324,0.000585825415328145
10_fs_1,0.034154508262872696,0.004910063464194536,0.0032168885227292776,0.6375976204872131,0.1201937273144722,0.023660335689783096,0.1762668639421463
10_fs_2,0.016184860840439796,0.0028860634192824364,0.0018791904440149665,0.6908332109451294,0.035028327256441116,0.022102082148194313,0.23108623921871185
10_fs_3,0.039583053439855576,0.002129829954355955,0.003305302234366536,0.7509893774986267,0.13258755207061768,0.0013388512888923287,0.07006608694791794
10_fs_4,0.03314948454499245,0.003389243269339204,0.0020732968114316463,0.8630305528640747,0.06395158916711807,0.0011550942435860634,0.033250778913497925
10_pg_1,0.10720816254615784,0.0038410876877605915,0.004173640627413988,0.2972579598426819,0.06845061480998993,0.006043397821485996,0.513025164604187
10_pg_2,0.11179462820291519,0.039376311004161835,0.015363616868853569,0.5072183012962341,0.14384940266609192,0.026673393324017525,0.15572431683540344
10_ps_1,0.25637444853782654,0.004577518440783024,0.01707986183464527,0.0030652012210339308,0.5928610563278198,0.0013205920113250613,0.12472137808799744
10_ps_2,0.1777658760547638,0.003789205802604556,0.019013874232769012,0.00398723129183054,0.6224938035011292,0.0018978954758495092,0.17105206847190857
10_ps_3,0.23015406727790833,0.0026279273442924023,0.010486574843525887,0.002280608518049121,0.6080263257026672,0.0007622166303917766,0.14566223323345184
10_ps_4,0.10614915937185287,0.0008622151799499989,0.008707525208592415,0.011163856834173203,0.2491917759180069,0.006453980226069689,0.6174715161323547
10_rg_1,0.1498057097196579,0.006793285720050335,0.01981380023062229,0.08238016813993454,0.1608654409646988,0.14507819712162018,0.43526342511177063
10_rs_1,0.11326377838850021,0.0017489726888015866,0.007224699482321739,0.018703002482652664,0.1619279831647873,0.011988356709480286,0.6851431727409363
10_rs_2,0.09486279636621475,0.002171654487028718,0.00917339138686657,0.010228456929326057,0.3068249225616455,0.009541498497128487,0.5671972632408142
10_rs_3,0.10307186841964722,0.001345483586192131,0.01105968002229929,0.010066739283502102,0.3027772307395935,0.01915668696165085,0.5525223612785339
10_rs_4,0.13586875796318054,0.0026310819666832685,0.0038734127301722765,0.0008321749628521502,0.8081498146057129,0.0004339633451309055,0.04821079224348068
10_rs_5,0.197882279753685,0.0036820080131292343,0.006446493789553642,0.0011111735366284847,0.7287885546684265,0.0007026250823400915,0.061386838555336
10_sg_1,0.005171462893486023,0.0011870297603309155,0.002523047151044011,0.9465736150741577,0.0010417631128802896,0.043387312442064285,0.0001157738734036684
10_sg_2,0.24576760828495026,0.005884643644094467,0.013770152814686298,0.1466861367225647,0.015478979796171188,0.5169985294342041,0.05541391670703888
10_ss_1,0.24474206566810608,0.00521827070042491,0.01908925361931324,0.004311645403504372,0.6126364469528198,0.0020602946169674397,0.11194206774234772
10_ss_2,0.09004828333854675,0.0027171571273356676,0.03156546875834465,0.07235606014728546,0.1550716608762741,0.051870398223400116,0.5963709950447083
10_ss_3,0.0637110248208046,0.010259022004902363,0.014930028468370438,0.3460153639316559,0.0613907128572464,0.24466413259506226,0.25902965664863586
10_tg_1,0.023784765973687172,0.006061648949980736,0.0042560589499771595,0.2078898549079895,0.08402983844280243,0.04319453611969948,0.6307833194732666
10_tg_2,0.03870902210474014,0.003023257479071617,0.0036426635924726725,0.1719316691160202,0.06345781683921814,0.05491222068667412,0.6643232703208923
10_tg_3,0.10800501704216003,0.0013943999074399471,0.002794901840388775,0.029291361570358276,0.14763768017292023,0.007604492828249931,0.7032721042633057
10_tg_4,0.060548726469278336,0.0010143298422917724,0.004983176477253437,0.04381827265024185,0.19540873169898987,0.01889517717063427,0.6753315925598145
10_tg_5,0.036596205085515976,0.0017717108130455017,0.004996593575924635,0.07402818650007248,0.11491385847330093,0.031217681244015694,0.7364758253097534
10_ts_1,0.2326231151819229,0.0016309506027027965,0.003385080024600029,0.0015709795989096165,0.6819660067558289,0.00036338577046990395,0.07846048474311829
10_ts_2,0.23296895623207092,0.0017661034362390637,0.0028528692200779915,0.0014734958531334996,0.687493085861206,0.00030954493558965623,0.07313603907823563
10_ts_3,0.29328304529190063,0.0012393670622259378,0.0031815501861274242,0.007152933161705732,0.2383381724357605,0.0019767170306295156,0.4548282027244568
10_ts_4,0.1328381896018982,0.001563624944537878,0.0031617572531104088,0.015338313765823841,0.3059438467025757,0.003716121194884181,0.537438154220581
11_dg_1,0.07953334599733353,0.4084473252296448,0.013739342801272869,0.4309776723384857,0.049346424639225006,0.003168124007061124,0.014787757769227028
11_dg_2,0.13612717390060425,0.620832622051239,0.014580794610083103,0.17871439456939697,0.03845006227493286,0.003900477895513177,0.00739449355751276
11_dg_3,0.1319449245929718,0.46727991104125977,0.0166288111358881,0.1336803436279297,0.20639221370220184,0.0047249034978449345,0.03934890031814575
11_dg_4,0.1286899745464325,0.15419012308120728,0.009623205289244652,0.06088448315858841,0.6078308820724487,0.0033586311619728804,0.03542272001504898
11_dg_5,0.07943450659513474,0.36965131759643555,0.01123677846044302,0.13512836396694183,0.37916794419288635,0.0027641889173537493,0.02261693775653839
11_dg_6,0.08210039138793945,0.3619197607040405,0.019936539232730865,0.04321052506566048,0.4599354863166809,0.0038727005012333393,0.02902456372976303
